Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
133,SL 2.7,SL 2.7a,Solving Quadratic Equations,Understanding methods for solving quadratic equations.,"Students learn factorization, completing the square, and the quadratic formula to solve quadratic equations in various contexts.","Solve, apply, choose",Paper 1 (equation solving),5 / 10,Students should be able to solve quadratic equations using appropriate methods.,formulas,Methods for Solving Quadratics,1. Factorization: $x^2 + 5x + 6 = (x+2)(x+3) = 0$ → $x = -2$ or $-3$ 2. Quadratic formula: $$x = \frac{-b \pm \sqrt{b^2-4ac}}{2a}$$ 3. Completing the square: $x^2 + 6x = (x+3)^2 - 9$ 4. Graphically: Find x-intercepts Choose method based on form and complexity
135,SL 2.7,SL 2.7b,The Quadratic Formula and Discriminant,Understanding the quadratic formula and discriminant analysis.,"Students learn x = (-b ± √(b²-4ac))/2a, understand the discriminant Δ = b²-4ac, and analyze the nature of roots.","Apply, analyze, interpret",Paper 1 (quadratic formula),6 / 10,Students should be able to use the quadratic formula and analyze the nature of roots using the discriminant.,formulas,Quadratic Formula and Discriminant,$$x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}$$ Discriminant: $\Delta = b^2 - 4ac$ $\Delta > 0$: two distinct real roots $\Delta = 0$: one repeated real root $\Delta < 0$: two complex conjugate roots Example: $x^2 + 2x - 3 = 0$: $\Delta = 4 + 12 = 16 > 0$ → two real roots
137,SL 2.7,SL 2.7c,Quadratic Inequalities,Understanding and solving quadratic inequalities.,"Students learn to solve quadratic inequalities, understand the relationship to quadratic equations, and represent solutions graphically.","Solve, represent, interpret",Paper 1 (inequality solving),6 / 10,Students should be able to solve quadratic inequalities and represent their solutions appropriately.,formulas,Solving Quadratic Inequalities,"To solve $ax^2 + bx + c > 0$: 1. Find roots (solve $ax^2 + bx + c = 0$) 2. Sketch parabola 3. Identify where graph is above x-axis Example: $x^2 - 5x + 6 > 0$ Roots: $x = 2, 3$ Solution: $x < 2$ or $x > 3$ (outside roots)"
139,SL 2.8,SL 2.8a,Reciprocal Functions,Understanding the reciprocal function f(x) = 1/x and its properties.,"Students explore the graph of 1/x, understand its self-inverse nature, and identify key features like asymptotes.","Understand, graph, analyze",Paper 1 (reciprocal functions),5 / 10,Students should be able to understand and graph reciprocal functions and identify their key properties.,formulas,Reciprocal Function Properties,"$$f(x) = \frac{1}{x}, \quad x \neq 0$$ Domain: $\mathbb{R} \setminus \{0\}$ Range: $\mathbb{R} \setminus \{0\}$ Asymptotes: $x = 0$ (vertical), $y = 0$ (horizontal) Self-inverse: $f(f(x)) = f(1/x) = x$ Symmetry: origin (odd function)"
141,SL 2.8,SL 2.8b,Rational Functions,Working with rational functions of the form f(x) = (ax+b)/(cx+d).,"Students learn to graph rational functions, find asymptotes, and understand the behavior of these functions.","Graph, find, understand",Paper 1 (rational functions),6 / 10,Students should be able to graph rational functions and identify their asymptotes and behavior.,formulas,Rational Function Form,"$$f(x) = \frac{ax + b}{cx + d}, \quad cx + d \neq 0$$ Domain: all $x$ except $x = -\frac{d}{c}$ Vertical asymptote: $x = -\frac{d}{c}$ (denominator = 0) Horizontal asymptote: $y = \frac{a}{c}$ (ratio of leading coefficients) Example: $f(x) = \frac{2x-1}{x+3}$: VA at $x=-3$, HA at $y=2$"
143,SL 2.8,SL 2.8c,Asymptotes of Rational Functions,Understanding vertical and horizontal asymptotes in rational functions.,"Students learn to find vertical asymptotes x = -d/c and horizontal asymptotes y = a/c, understanding their significance.","Find, understand, interpret",Paper 1 (asymptote analysis),6 / 10,Students should be able to find and interpret asymptotes of rational functions.,formulas,Finding Asymptotes,"For $f(x) = \frac{ax+b}{cx+d}$: Vertical: Set denominator = 0, solve for $x$ $$cx + d = 0 \Rightarrow x = -\frac{d}{c}$$ Horizontal: Compare degrees If equal: $y = \frac{a}{c}$ (leading coefficient ratio) Example: $\frac{3x+5}{2x-1}$ → VA: $x=\frac{1}{2}$, HA: $y=\frac{3}{2}$"
145,SL 2.9,SL 2.9a,Exponential Functions,Understanding exponential functions and their properties.,"Students explore f(x) = a^x where a > 0, learn about exponential growth and decay, and understand the relationship to logarithms.","Understand, explore, connect",Paper 1 (exponential functions),5 / 10,Students should be able to understand and work with exponential functions and their properties.,formulas,Exponential Function Basics,"$$f(x) = a^x, \quad a > 0, a \neq 1$$ Domain: all real numbers Range: $(0, \infty)$ (always positive) $a > 1$: exponential growth $0 < a < 1$: exponential decay $e = 2.71828...$ (natural base) Key: $f(x+1) = a \cdot f(x)$ (constant ratio)"
147,SL 2.9,SL 2.9b,Graphs of Exponential Functions,Understanding the graphs and behavior of exponential functions.,"Students learn to graph exponential functions, understand asymptotes, and analyze the effects of different bases on the graph.","Graph, analyze, understand",Paper 1 (exponential graphs),5 / 10,Students should be able to graph exponential functions and analyze their behavior.,formulas,Exponential Graph Properties,"$$y = a^x$$ passes through $(0, 1)$ (always: $a^0 = 1$) Horizontal asymptote: $y = 0$ (x-axis) $a > 1$: increasing, curves upward $0 < a < 1$: decreasing, curves downward Never touches x-axis (always positive) Transformations: $y = ka^{x-h} + c$ shifts and scales"
149,SL 2.9,SL 2.9c,Exponential Equations and Applications,Solving exponential equations and applying them in context.,"Students learn to solve exponential equations using logarithms, understand exponential models, and apply them to real-world problems.","Solve, apply, model",Paper 1 (exponential equations),6 / 10,Students should be able to solve exponential equations and apply exponential models to real-world situations.,formulas,Solving Exponential Equations,To solve $a^x = b$: Take log of both sides: $$x = \log_a(b) = \frac{\log(b)}{\log(a)}$$ Example: $2^x = 10$ $$x = \frac{\log(10)}{\log(2)} = \frac{1}{0.301} \approx 3.32$$ For $a^{f(x)} = a^{g(x)}$: solve $f(x) = g(x)$ (same base)
151,SL 2.10,SL 2.10a,Logarithmic Functions,Understanding logarithmic functions and their relationship to exponentials.,"Students explore f(x) = log_a(x), understand the inverse relationship with exponential functions, and learn about common and natural logarithms.","Understand, explore, connect",Paper 1 (logarithmic functions),5 / 10,Students should be able to understand logarithmic functions and their relationship to exponential functions.,formulas,Logarithmic Function Basics,"$$f(x) = \log_a(x), \quad a > 0, a \neq 1$$ Domain: $(0, \infty)$ (positive numbers only) Range: all real numbers Inverse of $a^x$: $\log_a(a^x) = x$ and $a^{\log_a(x)} = x$ Common: $\log(x) = \log_{10}(x)$ Natural: $\ln(x) = \log_e(x)$"
153,SL 2.10,SL 2.10b,Graphs of Logarithmic Functions,Understanding the graphs and properties of logarithmic functions.,"Students learn to graph logarithmic functions, understand their domain and range, and analyze the effects of different bases.","Graph, analyze, understand",Paper 1 (logarithmic graphs),5 / 10,Students should be able to graph logarithmic functions and understand their properties.,formulas,Logarithmic Graph Properties,"$$y = \log_a(x)$$ passes through $(1, 0)$ (always: $\log_a(1) = 0$) Vertical asymptote: $x = 0$ (y-axis) $a > 1$: increasing, curves right $0 < a < 1$: decreasing Never defined for $x \leq 0$ Reflection of $y = a^x$ in line $y = x$"
155,SL 2.10,SL 2.10c,Logarithmic Equations and Applications,Solving logarithmic equations and applying them in context.,"Students learn to solve logarithmic equations, understand logarithmic models, and apply them to real-world problems.","Solve, apply, model",Paper 1 (logarithmic equations),6 / 10,Students should be able to solve logarithmic equations and apply logarithmic models to real-world situations.,formulas,Solving Logarithmic Equations,"Method: Use log laws to combine, then convert to exponential Example: $\log_2(x) + \log_2(x-3) = 2$ $$\log_2(x(x-3)) = 2$$ $$x(x-3) = 2^2 = 4$$ $$x^2 - 3x - 4 = 0 \Rightarrow x = 4 \text{ or } -1$$ Check: $x = -1$ invalid (log of negative!), so $x = 4$"
157,SL 2.11,SL 2.11a,Function Transformations,Understanding transformations of functions and their effects.,"Students learn about vertical and horizontal translations, reflections, and stretches/compressions, and how they affect function graphs.","Understand, apply, transform",Paper 1 (function transformations),6 / 10,Students should be able to understand and apply transformations to function graphs.,formulas,Function Transformation Rules,"From $y = f(x)$: Vertical shift: $y = f(x) + k$ (up if $k>0$) Horizontal shift: $y = f(x - h)$ (right if $h>0$) Vertical stretch: $y = af(x)$ ($|a| > 1$ stretches) Horizontal stretch: $y = f(bx)$ ($|b| > 1$ compresses) Reflections: $y = -f(x)$ (x-axis), $y = f(-x)$ (y-axis)"
159,SL 2.11,SL 2.11b,Combining Transformations,Working with multiple transformations applied to functions.,"Students learn to combine multiple transformations, understand the order of operations, and predict the effects on function graphs.","Combine, predict, analyze",Paper 1 (combined transformations),6 / 10,Students should be able to combine multiple transformations and predict their effects on function graphs.,formulas,Multiple Transformations,"Order matters for combinations: $y = af(b(x-h)) + k$ Order of application: 1. Horizontal stretch/compress ($b$) 2. Horizontal shift ($h$) 3. Vertical stretch/compress ($a$) 4. Vertical shift ($k$) Example: $y = 2(x-3)^2 + 1$ → right 3, stretch by 2, up 1"
161,SL 2.11,SL 2.11c,Transformation Applications,Applying transformations to solve problems and model situations.,"Students learn to use transformations to solve problems, model real-world situations, and understand the practical applications of function transformations.","Apply, model, solve",Paper 1 (transformation applications),6 / 10,Students should be able to apply transformations to solve problems and model real-world situations.,formulas,Modeling with Transformations,"Given context, build model by transforming parent function: Base function → adjust amplitude (vertical stretch) → shift horizontally (phase) → shift vertically (midline) Example: Temperature varies $10°C$ around $20°C$ average: $T(t) = 10\sin(t) + 20$"
163,AHL 2.12,AHL 2.12a,Polynomial Functions,Understanding polynomial functions and their properties.,"Students explore polynomial functions of degree n, learn about their graphs, end behavior, and fundamental properties of polynomials.","Understand, explore, analyze",Paper 1 (polynomial functions),6 / 10,Students should be able to understand polynomial functions and their fundamental properties.,formulas,Polynomial Function Definition,"$$P(x) = a_nx^n + a_{n-1}x^{n-1} + \cdots + a_1x + a_0$$ Degree: $n$ (highest power) Leading coefficient: $a_n$ End behavior: determined by $a_nx^n$ Continuous, smooth curves Domain: all real numbers Example: $P(x) = 2x^3 - 5x^2 + 3x - 1$ (degree 3)"
165,AHL 2.12,AHL 2.12b,The Factor Theorem,Understanding the factor theorem and its applications.,"Students learn that if f(a) = 0, then (x-a) is a factor of f(x), and use this to factor polynomials and find roots.","Apply, factor, find",Paper 1 (factor theorem),7 / 10,Students should be able to apply the factor theorem to factor polynomials and find roots.,formulas,Factor Theorem,"$$f(a) = 0 \iff (x - a) \text{ is a factor of } f(x)$$ Application: Test values to find factors If $f(2) = 0$, then $(x-2)$ divides $f(x)$ Use to factor: $f(x) = (x-a)Q(x)$ Example: If $f(x) = x^3 - 6x^2 + 11x - 6$ and $f(1) = 0$ Then $(x-1)$ is a factor"
167,AHL 2.12,AHL 2.12c,The Remainder Theorem,Understanding the remainder theorem and polynomial division.,"Students learn that when f(x) is divided by (x-a), the remainder is f(a), and apply this to polynomial division problems.","Apply, divide, find",Paper 1 (remainder theorem),7 / 10,Students should be able to apply the remainder theorem to polynomial division problems.,formulas,Remainder Theorem,When $f(x)$ is divided by $(x-a)$: $$f(x) = (x-a)Q(x) + R$$ where $R = f(a)$ (remainder) If $R = 0$: $(x-a)$ is a factor (Factor Theorem) Example: Remainder when $x^3 + 2x - 5$ divided by $(x-2)$? Calculate $f(2) = 8 + 4 - 5 = 7$ Remainder is 7
169,AHL 2.13,AHL 2.13a,Advanced Rational Functions,Working with more complex rational functions and their properties.,"Students explore rational functions with higher degree polynomials, learn about multiple asymptotes, and analyze their behavior.","Explore, analyze, understand",Paper 1 (advanced rational functions),7 / 10,Students should be able to work with complex rational functions and analyze their properties.,formulas,Higher Degree Rational Functions,"$$f(x) = \frac{P(x)}{Q(x)}$$ where $P$, $Q$ are polynomials Domain: all $x$ where $Q(x) \neq 0$ Vertical asymptotes: roots of $Q(x)$ Horizontal asymptote: depends on degree comparison - deg$(P)$ < deg$(Q)$: $y = 0$ - deg$(P)$ = deg$(Q)$: $y = \frac{a_n}{b_n}$ - deg$(P)$ > deg$(Q)$: no horizontal (oblique instead)"
171,AHL 2.13,AHL 2.13b,Oblique Asymptotes,Understanding oblique asymptotes in rational functions.,"Students learn to find oblique asymptotes using polynomial long division, understand when they occur, and analyze their significance.","Find, understand, analyze",Paper 1 (oblique asymptotes),7 / 10,Students should be able to find and analyze oblique asymptotes in rational functions.,formulas,Oblique Asymptote Formula,Occurs when deg$(P)$ = deg$(Q)$ + 1 Use polynomial long division: $$\frac{P(x)}{Q(x)} = mx + c + \frac{R(x)}{Q(x)}$$ Oblique asymptote: $y = mx + c$ Example: $$\frac{x^2 + 1}{x - 1} = x + 1 + \frac{2}{x-1}$$ Oblique asymptote: $y = x + 1$
173,AHL 2.13,AHL 2.13c,Advanced Rational Function Applications,Applying advanced rational function concepts to solve complex problems.,"Students learn to solve complex problems involving rational functions, including optimization and modeling applications.","Solve, apply, model",Paper 1 (rational applications),7 / 10,Students should be able to apply advanced rational function concepts to solve complex problems.,formulas,Average and Marginal Analysis,Average cost: $$\overline{C}(x) = \frac{C(x)}{x}$$ Concentration: $$c(t) = \frac{A}{V(t)}$$ Optimization: Find max/min using calculus Example: Average cost $\overline{C}(x) = \frac{100 + 5x}{x} = \frac{100}{x} + 5$ has horizontal asymptote $y = 5$ (limiting average cost)
